,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,FB1,FB2,FB3,FB4,FB5
32,0.000174,0.005526,0.000517,0.006215,0.006971,0.001503,0.001499,0.006843,0.001011,0.001741,0.01021,0.001799,0.000891,0.006194,0.004813,0.005999,0.003569,0.018381,0.009064,0.008185,18,11,19,20,5
33,0.000083,0.004803,0.000164,0.013707,0.007482,0.000052,0.000099,0.015979,0.000001,0.000001,0.012091,0.002954,0.000996,0.006002,0.00184,0.000619,0.000714,0.01914,0.011561,0.011246,18,8,4,11,19
34,0.003238,0.000058,0.000005,0.018699,0.013072,0.001455,0.003751,0.015289,0.003,0.001782,0.013628,0.001894,0.000409,0.001571,0.004271,0.000017,0,0.007879,0.000154,0.000996,4,8,11,5,18
35,0.002881,0.006111,0.000208,0.014834,0.014194,0.002802,0.003471,0.016329,0.000223,0.002711,0.017897,0.000908,0.001018,0.004606,0.00783,0.003157,0.003181,0.026318,0.005186,0.005239,18,11,8,4,5
36,0.018017,0.000312,0.004681,0.025739,0.018574,0.007558,0.000148,0.007108,0.00522,0.000502,0.018246,0,0.029598,0.000312,0.021233,0.012376,0.012376,0.000955,0.020981,0.021409,13,4,20,15,19
37,0.005888,0.047919,0.008347,0.001072,0.004505,0.023,0.007205,0.02514,0.001491,0.060851,0.000179,0,0.001043,0.047919,0.044069,0.072874,0.072874,0.014764,0.002035,0.003971,16,17,10,2,14
38,0.280695,0.012004,0.011062,0.062908,0.083354,0.262155,0.17307,0.001472,0.094997,0.003211,0.023124,0.036154,0.006974,0.013132,0.013132,0.005672,0.005672,0.003211,0.030336,0.127729,1,6,7,20,9
39,0.127729,0.023606,0,0.072688,0.244762,0.029237,0.043934,0.062417,0.012996,0.115097,0.127729,0.062908,0.107729,0.023606,0.115097,0.038201,0.038201,0.062908,0.085614,0.099429,5,1,11,10,15
40,0.124511,0.039491,0.144484,0.224371,0.295807,0,0.042875,0.224371,0.124511,0.030305,0.124511,0,0.005802,0.039491,0.060023,0.007403,0.007403,0.124511,0.019973,0.030305,5,4,8,3,1
41,0.031373,0.000185,0.00917,0.01381,0.052001,0.021845,0.014419,0.026301,0.014775,0.004413,0.053598,0.005234,0.006972,0.000185,0.020937,0.014471,0.014471,0.034877,0.073283,0.025144,19,11,5,18,1
42,0.019176,0.029432,0.010656,0.071922,0.049713,0.01902,0.000728,0.066984,0.000032,0.00476,0.031762,0,0.035993,0.029432,0.057627,0.000773,0.000773,0.000297,0.041192,0.025804,4,8,15,5,19
43,0.072946,0.002692,0.00027,0.039178,0.086781,0.032131,0.013324,0.010705,0.028382,0.004942,0.08127,0,0.05049,0.002692,0.057627,0.016402,0.016402,0.045113,0.072858,0.058221,5,11,1,19,20
44,0.039626,0.011443,0,0.093266,0.087166,0.043838,0.026198,0.023123,0.004111,0.014316,0.039626,0,0.000014,0.002872,0.009776,0.001748,0.001748,0.039626,0.004111,0.026859,4,5,6,1,11
45,0.195256,0.352654,0,0.118246,0.031027,0.056195,0.135087,0.214521,0.143544,0.090149,0.013497,0,0.118246,0.352654,0.000486,0.243313,0.243313,0.214521,0.021158,0.025654,2,14,16,17,8
46,0.111307,0.015859,0.012909,0.015859,0.097605,0.111307,0.00965,0.13523,0.004299,0.067083,0.166583,0.005026,0.09261,0.015859,0.261911,0.012652,0.012652,0.048776,0.156806,0.048776,15,11,19,8,1
47,0.028763,0.000005,0.001672,0.04981,0.043306,0.02376,0.014604,0,0.006695,0.000121,0.043496,0.010318,0.044441,0.000005,0.034942,0.003774,0.003774,0.039904,0.031625,0.034719,4,13,11,5,18
48,0.034302,0.00457,0.029511,0.028502,0.098612,0,0.000112,0.033153,0.016683,0.051044,0.12649,0.065229,0.055154,0.00457,0.01137,0.000011,0.000011,0.084045,0.015608,0.023372,11,5,18,12,13
49,0.042047,0.004227,0.009975,0.050169,0.060078,0.02909,0.000312,0.080431,0.034197,0.034708,0.050019,0.02074,0.043895,0.004227,0.089711,0.016459,0.016459,0.02074,0.005239,0.01519,15,8,5,4,11
50,0.012029,0.012029,0.007867,0.003798,0.08511,0.012029,0.038337,0.003854,0.039049,0.0005,0.039049,0,0.08218,0.012737,0.057963,0.043616,0.043616,0.142504,0.020848,0.059467,18,5,13,20,15
51,0.121156,0,0.092869,0.378879,0.171129,0.459148,0.152007,0.121156,0.040656,0,0.171129,0,0.171129,0.040656,0.23355,0.092869,0.092869,0.040656,0.040656,0.040656,6,4,15,5,11
52,0.000171,0.003781,0.040285,0.005535,0.000129,0.000069,0.002353,0.013983,0.000039,0,0.000603,0.001893,0.00523,0.003781,0.000129,0.002209,0.002209,0.002741,0.001446,0.005527,3,8,4,20,13
53,0.000378,0.004466,0.026504,0.049492,0.036225,0.000121,0.022621,0.039477,0.001752,0,0.060334,0.110815,0.021075,0.004466,0.020538,0.015853,0.015853,0.095086,0.047708,0.047216,12,18,11,4,19
54,0.005258,0.119345,0.013013,0.140063,0.033275,0.000352,0.097189,0.158062,0.000035,0,0.104682,0.05212,0.043689,0.119345,0.016184,0.114795,0.114795,0.094814,0.073639,0.058999,8,4,2,14,16
55,0.03513,0.009698,0.005712,0.00353,0.001721,0.013143,0.050288,0.018708,0.052654,0.000992,0.011162,0.00937,0.017347,0.009698,0.018708,0.005067,0.005067,0.008946,0.000063,0.000055,9,7,1,8,15
56,0.202177,0.195146,0,0.145479,0.337371,0.202177,0.10559,0.258786,0.073372,0.041659,0.202177,0,0.145479,0.195146,0.220247,0,0,0.202177,0.103493,0.145479,5,8,15,1,6
